GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,at.rseiler.spbee.core.generator,MapperGenerator,136,176,64,13,9,36,47,12,0,6
core,at.rseiler.spbee.core.generator,DtoGenerator.DtoClassGeneratorInstance,174,1056,24,58,25,166,23,33,0,15
core,at.rseiler.spbee.core.generator,StoredProcedureGenerator,0,319,2,14,0,63,2,16,0,10
core,at.rseiler.spbee.core.generator,AbstractGenerator,0,33,0,0,0,11,0,2,0,2
core,at.rseiler.spbee.core.generator,DtoGenerator,0,31,0,2,0,10,0,3,0,2
core,at.rseiler.spbee.core,SPBeeAnnotationProcessor,149,0,10,0,33,0,9,0,4,0
core,at.rseiler.spbee.core.pojo,Variable,19,16,0,0,1,6,1,3,1,3
core,at.rseiler.spbee.core.pojo,StoredProcedureMethod,61,180,0,12,3,39,1,20,1,14
core,at.rseiler.spbee.core.pojo,AnnotationInfo,0,24,0,0,0,8,0,4,0,4
core,at.rseiler.spbee.core.pojo,ResultSetVariable,5,50,0,6,2,11,0,7,0,4
core,at.rseiler.spbee.core.pojo,TypeInfo,34,40,1,1,1,12,2,7,1,7
core,at.rseiler.spbee.core.pojo,StoredProcedureMethod.Builder,71,71,4,0,13,20,3,10,1,10
core,at.rseiler.spbee.core.pojo,DtoClass,24,41,0,0,1,13,1,8,1,8
core,at.rseiler.spbee.core.pojo,ResultSetClass,3,12,0,0,1,5,1,2,1,2
core,at.rseiler.spbee.core.pojo,AnnotationValueInfo,0,21,0,0,0,8,0,4,0,4
core,at.rseiler.spbee.core.pojo,MapperClass,26,29,0,0,1,10,1,5,1,5
core,at.rseiler.spbee.core.util,StringCodeWriter,0,26,0,0,0,7,0,4,0,4
core,at.rseiler.spbee.core.util,CodeModelUtil,12,47,0,0,3,5,2,4,2,4
core,at.rseiler.spbee.core.util,StringCodeWriter.InternalFilterOutputStream,0,5,0,0,0,3,0,2,0,2
core,at.rseiler.spbee.core.util,StringUtil,158,174,67,14,12,24,50,15,1,9
core,at.rseiler.spbee.core.exception,MultipleObjectsReturned,3,0,0,0,1,0,1,0,1,0
core,at.rseiler.spbee.core.exception,ObjectDoesNotExist,3,0,0,0,1,0,1,0,1,0
core,at.rseiler.spbee.core.collector,EntityClassCollector,227,0,30,0,38,0,25,0,10,0
core,at.rseiler.spbee.core.collector,DtoCollector,165,0,10,0,35,0,15,0,10,0
core,at.rseiler.spbee.core.collector,ResultSetCollector,85,0,4,0,15,0,8,0,6,0
